"","Belgium","France","Germany","Italy","Netherlands","Norway","Portugal","Spain","Switzerland","United_Kingdom"
"Belgium",0,-0.189386443,-0.713477939,0.177112741,-3.05502952,-2.160966354,-0.225377092,0.636733689,-0.986285805,-0.848177946
"France",-0.182798694,0,0.358168964,0.924942408,-0.219846395,-1.101029781,0.699609237,1.005985249,0.108203006,0.801525853
"Germany",-0.742658044,0.296145258,0,1.051204654,-0.100351918,-0.388569715,0.585112397,1.516690728,0.481731254,0.899261542
"Italy",0.178130747,0.915493127,1.021933455,0,0.405248764,-1.327246336,-0.158672494,0.835145478,-0.020382955,1.066012837
"Netherlands",-2.405345539,-0.122462032,-0.056914462,0.424093415,0,-0.8043608,0.074292585,0.665929419,-0.226587759,0.676577003
"Norway",-2.131262242,-1.056143487,-0.378231,-1.247416804,-0.786468165,0,-1.991996573,-0.440211779,-1.548125702,-0.066974052
"Portugal",-0.222257813,0.704765473,0.605746641,-0.165301658,0.10894684,-2.053114,0,-0.168295898,0.237661051,0.799295198
"Spain",0.629977702,0.954291365,1.573403378,0.842123744,0.655244994,-0.340474003,-0.171152336,0,0.296841155,1.570182246
"Switzerland",-0.962052956,0.11929386,0.478710326,-0.017005115,-0.220571328,-1.595298939,0.230894989,0.298309467,0,0.326832948
"United_Kingdom",-0.865808535,0.83684035,0.949886361,1.061176985,0.695304939,-0.072700236,0.80308088,1.58314355,0.369552392,0
