"","Belgium","France","Germany","Italy","Netherlands","Norway","Portugal","Spain","Switzerland","United_Kingdom"
"Belgium",0,1.819369017,0.490160819,-0.563645954,1.622085627,-1.200627286,-0.699963515,-0.355391832,-1.01313752,-0.252025974
"France",1.841435313,0,1.733489094,0.468063858,-0.246241928,-1.075752135,-0.093510928,1.451167667,1.948397282,0.273643114
"Germany",0.451703416,1.728786209,0,-0.06686104,2.149812494,-0.672331764,-0.20929035,0.241118346,1.877560385,0.037376205
"Italy",-0.527627159,0.529485264,-0.096371362,0,-0.236764554,-1.258644464,-0.577324697,-0.016513771,1.285886575,0.10786944
"Netherlands",1.61001523,-0.265896962,2.139154295,-0.319819193,0,-0.686159666,-0.303168306,-0.100435562,-0.738753218,0.224725233
"Norway",-1.200627286,-1.081199327,-0.685718074,-1.226993791,-0.633633242,0,-1.21930323,-0.884389317,-1.175339022,-0.864295027
"Portugal",-0.648563299,-0.105760299,-0.319096678,-0.583085861,-0.344781069,-1.221046403,0,1.157474116,-0.602302977,-0.22465704
"Spain",-0.380940376,1.402136189,0.169288246,-0.085204541,-0.098956551,-0.977708413,1.155041193,0,-0.654736821,0.197654133
"Switzerland",-1.077049583,1.905145393,1.870103327,1.24663699,-0.741790706,-1.188825634,-0.589091535,-0.651075902,0,-0.572034483
"United_Kingdom",-0.676995703,0.472698749,-0.021360674,-0.033534866,0.25056278,-0.877636689,-0.262369459,0.184237786,-0.555920766,0
