taxa	samplingDate	samplingCountry
hCoV-19/Portugal/PT1738/2020|EPI_ISL_693516|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1729/2020|EPI_ISL_693518|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1723/2020|EPI_ISL_693519|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1707/2020|EPI_ISL_693523|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1730/2020|EPI_ISL_693524|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1596/2020|EPI_ISL_693525|Portugal|2020-07-04	2020.5054644808743	Portugal
hCoV-19/Portugal/PT1557/2020|EPI_ISL_693529|Portugal|2020-06-26	2020.483606557377	Portugal
hCoV-19/Portugal/PT1582/2020|EPI_ISL_693530|Portugal|2020-07-01	2020.4972677595629	Portugal
hCoV-19/Portugal/PT1609/2020|EPI_ISL_693531|Portugal|2020-07-06	2020.5109289617487	Portugal
hCoV-19/Portugal/PT1626/2020|EPI_ISL_693532|Portugal|2020-07-11	2020.5245901639344	Portugal
hCoV-19/Portugal/PT1580/2020|EPI_ISL_693533|Portugal|2020-07-01	2020.4972677595629	Portugal
hCoV-19/Portugal/PT1739/2020|EPI_ISL_693535|Portugal|2020-09-02	2020.6693989071039	Portugal
hCoV-19/Portugal/PT1737/2020|EPI_ISL_693536|Portugal|2020-08-25	2020.6475409836066	Portugal
hCoV-19/Portugal/PT1732/2020|EPI_ISL_693537|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1617/2020|EPI_ISL_693538|Portugal|2020-07-08	2020.516393442623	Portugal
hCoV-19/Portugal/PT1556/2020|EPI_ISL_693540|Portugal|2020-06-26	2020.483606557377	Portugal
hCoV-19/Portugal/PT1570/2020|EPI_ISL_693541|Portugal|2020-06-28	2020.4890710382513	Portugal
hCoV-19/Portugal/PT1586/2020|EPI_ISL_693542|Portugal|2020-07-01	2020.4972677595629	Portugal
hCoV-19/Portugal/PT1551/2020|EPI_ISL_693564|Portugal|2020-06-25	2020.48087431694	Portugal
hCoV-19/Portugal/PT1552/2020|EPI_ISL_693565|Portugal|2020-06-25	2020.48087431694	Portugal
hCoV-19/Portugal/PT1553/2020|EPI_ISL_693566|Portugal|2020-06-26	2020.483606557377	Portugal
hCoV-19/Portugal/PT1554/2020|EPI_ISL_693567|Portugal|2020-06-26	2020.483606557377	Portugal
hCoV-19/Portugal/PT1555/2020|EPI_ISL_693568|Portugal|2020-06-26	2020.483606557377	Portugal
hCoV-19/Portugal/PT1558/2020|EPI_ISL_693569|Portugal|2020-06-27	2020.4863387978141	Portugal
hCoV-19/Portugal/PT1559/2020|EPI_ISL_693570|Portugal|2020-06-27	2020.4863387978141	Portugal
hCoV-19/Portugal/PT1560/2020|EPI_ISL_693571|Portugal|2020-06-27	2020.4863387978141	Portugal
hCoV-19/Portugal/PT1561/2020|EPI_ISL_693572|Portugal|2020-06-27	2020.4863387978141	Portugal
hCoV-19/Portugal/PT1562/2020|EPI_ISL_693573|Portugal|2020-06-27	2020.4863387978141	Portugal
hCoV-19/Portugal/PT1564/2020|EPI_ISL_693574|Portugal|2020-06-27	2020.4863387978141	Portugal
