"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,-0.169616103475,-0.162147962037,-0.254612618919,-0.0560933857425,-0.223617028644,0.341797102761,0.0285547952268,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"RiverCess",-0.320511146169,0,-0.162147962037,-0.254612618919,-0.0560933857425,-0.223617028644,0.341797102761,0.0285547952268,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"RiverGee",-0.320511146169,-0.169616103475,0,-0.254612618919,-0.0560933857425,-0.223617028644,0.341797102761,0.0285547952268,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"Sinoe",-0.320511146169,-0.169616103475,-0.162147962037,0,-0.0560933857425,-0.223617028644,0.341797102761,0.0285547952268,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"Bomi",-0.320511146169,-0.169616103475,-0.162147962037,-0.254612618919,0,-0.223617028644,0.341797102761,0.0285547952268,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"Bong",-0.320511146169,-0.169616103475,-0.162147962037,-0.254612618919,-0.0560933857425,0,0.341797102761,0.0285547952268,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"Gbarpolu",-0.320511146169,-0.169616103475,-0.162147962037,-0.254612618919,-0.0560933857425,-0.223617028644,0,0.0285547952268,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"GrandCapeMount",-0.320511146169,-0.169616103475,-0.162147962037,-0.254612618919,-0.0560933857425,-0.223617028644,0.341797102761,0,-0.0771293333955,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"GrandBassa",-0.320511146169,-0.169616103475,-0.162147962037,-0.254612618919,-0.0560933857425,-0.223617028644,0.341797102761,0.0285547952268,0,0.315112453252,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
"GrandGedeh",-0.320511146169,-0.169616103475,-0.162147962037,-0.254612618919,-0.0560933857425,-0.223617028644,0.341797102761,0.0285547952268,-0.0771293333955,0,-0.735472550501,-0.764580630214,0.14416501497,-0.597131740005,0.0579775564407,2.86017884793,1.43243709508,1.67949530834,1.5462179181,-0.773657038391,0.201336458445,-0.513283720538,-0.908952479138,-0.0469594207098,-1.43588321382,0.114017381909,0.654420034562,1.40553909234,1.7611151948,1.99093678891,0.497045194994,0.256665050168,0.0702446273699,-1.19916810715,-2.06823240904,-1.11125727232,-1.17929072373,-0.480681949545,-1.50371367338,-1.8983197295,-1.57155821182,-1.01742415628,-0.095717475143,-0.0701598982017,-0.555718580243,1.17056110948,1.49392457117,-0.656136352588,0.772305865516,0.119982701595,0.350942334538,0.829380742789,0.425401321216,0.806265756469,-0.335215034442,-0.543778373309
