"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,-1.57129174526,-0.712464827627,-1.02160868306,-0.511854354418,-1.46004066239,-0.631425264062,-0.16213250756,-1.17596837575,-1.88418309893,-0.546838870051,-0.647109762022,-0.948632012587,-0.315198124908,-0.638446955301,1.32964664082,1.48731508711,1.2661827968,1.14536339292,0.890071137459,1.04866648138,0.605055529462,0.124576118989,0.569892059748,0.0119967115566,0.708485622833,0.937261614772,1.11585079497,1.22975750564,0.993807785771,1.0573261086,1.25935456244,1.38587877427,1.15757039569,1.10636686994,1.18912842158,-0.180080713675,-0.201508317553,-1.13539102491,-0.39845698027,-1.24324932399,-1.38959048074,-0.166551493695,-0.0357898431028,0.143937802805,0.58644392126,0.894933860797,0.635514876836,0.700003674561,0.546921116797,0.249411236102,0.375609477709,0.422014270976,0.124877583893,0.858902962582,0.891185731442
"RiverCess",-1.57129174526,0,-0.599607524807,-2.04623603203,-0.684315644475,-1.11848930964,-0.393473449532,-0.415382724577,-2.49345587883,-1.0677198127,-0.805458095197,-0.307235378891,-1.56655371524,-0.410837197298,-1.12398507047,1.34395785393,1.51446107644,1.29961210383,1.15449064097,1.0528771705,1.2155832895,0.802993375078,0.41803777498,0.863909367874,0.410668904811,0.953315983649,1.18042371219,1.13460283829,1.25312386481,1.01312417666,1.11003022079,1.32468945417,1.49006218892,1.29210329807,1.21113432337,1.2706548474,0.349669031402,0.114563297466,-0.264031610513,0.0676095235245,-0.368859767587,-0.529069474385,-0.0420842685341,0.0062859487092,0.299463976999,0.637143482505,0.906433266843,0.758173629713,0.70371057396,0.553475508282,0.239909112883,0.288935688712,0.403894754783,0.0195882316761,0.818766370275,0.850181578428
"RiverGee",-0.712464827627,-0.599607524807,0,-1.08095150483,0.418844380155,0.041488592994,0.432150052593,0.588391388735,-0.175724793167,-1.64891139718,-2.08384745652,0.427166045953,0.0775129330755,-2.34650186969,0.256410875758,1.71696376193,1.84460787285,1.67032442461,1.57231479585,1.37709460061,1.48643011016,1.1726812913,0.84717581843,1.09002068939,0.729231576508,1.2136746928,1.34942481943,1.55166964191,1.64042620743,1.45912682702,1.51183575439,1.66705035828,1.75993313805,1.57847881756,1.54761811004,1.61251582569,0.482495564044,0.661878227089,-0.00897222355186,0.516116802962,0.0268771897601,0.0369235939209,0.685135241254,0.752913566821,0.879234136825,1.16774664034,1.38363832457,1.20622413929,1.23953824916,1.13164581236,0.925233849947,0.986226362304,1.03908735074,0.816041999593,1.34240316574,1.36587306153
"Sinoe",-1.02160868306,-2.04623603203,-1.08095150483,0,-0.125808660931,-0.432061625247,0.0834705463473,0.0451339231639,-1.21757539519,-1.12151317949,-1.68323900374,0.137007151563,-0.711130307327,-1.0130173194,-0.454759999983,1.52237796771,1.67669057908,1.48422336167,1.35367561688,1.25867190304,1.39873392013,1.03940059482,0.704350027243,1.06249130796,0.6694587384,1.15385769901,1.34273939169,1.33704303164,1.44221733308,1.23065399209,1.3171151011,1.50717631008,1.65239117096,1.4720473099,1.4044213788,1.45861112596,0.558353273677,0.460828084455,0.0263602529232,0.393313424903,-0.0234402504632,-0.112412197341,0.357280793369,0.395910144785,0.627273982888,0.909661388902,1.13740899703,1.0106909265,0.963249574952,0.83715162217,0.57890000485,0.608554760586,0.711226530969,0.393910696507,1.05537821661,1.08206239602
"Bomi",-0.511854354418,-0.684315644475,0.418844380155,-0.125808660931,0,-1.63843511609,-1.68459542946,-2.60144241915,-1.23224810316,0.032747583688,0.361891570578,-1.26648769249,-1.98666391935,0.558146399835,-2.47210070137,0.819191415181,1.05458732168,0.763448663151,0.548794848627,0.551147346515,0.79526842671,0.232735205344,-0.194304468192,0.531629256598,0.0307057137399,0.558781466598,0.902877611605,0.521927015258,0.694128889633,0.340904440269,0.50260976936,0.818131885789,1.08322714534,0.851890924313,0.697730052167,0.756882029428,0.262093557126,-0.653073406401,-0.169486162814,-0.395283708297,-0.364367317073,-0.62461203082,-1.43569880816,-1.53833896991,-0.693662913027,-0.248045967751,0.173429064014,0.0374432252627,-0.161277702941,-0.425932915593,-1.06316333572,-0.941120963172,-0.720380891716,-1.59995497475,0.0345329537202,0.0864327213197
"Bong",-1.46004066239,-1.11848930964,0.041488592994,-0.432061625247,-1.63843511609,0,-1.95047496191,-0.947194626859,-1.42043258857,-0.55189155108,0.0665674864933,-1.77703462602,-1.74638251381,0.267878777581,-1.46503953308,1.02876713968,1.22181634181,0.957299464893,0.801344055717,0.579820895858,0.794617638678,0.233077844967,-0.343746737102,0.359711324042,-0.286266987956,0.45795105745,0.78013910045,0.766741350851,0.90928018462,0.612690065851,0.705282707516,0.963972373036,1.14805969415,0.89483495202,0.800968152346,0.887277806728,-0.184061349801,-0.87255215259,-0.92376087064,-0.870721932866,-1.22578747529,-1.68685419909,-1.07101864146,-0.874499017322,-0.511220074908,0.0805951714534,0.483630588217,0.192402558308,0.22420447382,0.0140583102506,-0.420922483014,-0.221148082461,-0.165177753011,-0.591239217734,0.433704961205,0.475774197431
"Gbarpolu",-0.631425264062,-0.393473449532,0.432150052593,0.0834705463473,-1.68459542946,-1.95047496191,0,-1.05900549326,-0.668220678373,-0.0355165021232,0.463987255741,-3.57416942385,-1.03136680702,0.620486021216,-1.0473724415,0.77806734142,0.995045548803,0.685875907012,0.514258628028,0.231325174042,0.50522153367,-0.20323468298,-0.926329154881,0.0845620189711,-0.636467839512,0.147899000288,0.565085954349,0.467362626952,0.63386615819,0.281600714813,0.377438457115,0.6847703108,0.903775947068,0.610646066667,0.487822044593,0.591576799141,-0.251308713932,-1.77136926378,-0.706542086131,-1.32886823171,-0.993813211956,-1.35663245165,-2.34948462032,-1.77228705824,-1.34294984485,-0.414671364652,0.129393771257,-0.29123190615,-0.187149817235,-0.459566521757,-1.01142134465,-0.618141349489,-0.65993271068,-1.02161627051,0.115732757226,0.167226967192
"GrandCapeMount",-0.16213250756,-0.415382724577,0.588391388735,0.0451339231639,-2.60144241915,-0.947194626859,-1.05900549326,0,-0.913313128397,0.275896560864,0.504274530111,-0.758610564422,-1.47452333269,0.693495607192,-2.04938991727,0.743681986322,0.999141605614,0.705288115797,0.457724754142,0.614436468611,0.857731439864,0.336271851446,0.0148483440547,0.678446817684,0.259281408841,0.678800801127,1.01173934453,0.440685249062,0.623521623699,0.25462765842,0.45897874354,0.792803520937,1.09619627916,0.88874018211,0.708721252065,0.746272589172,0.494658664324,-0.349360539307,0.144617695591,-0.0826953854068,-0.0144034072502,-0.219794720744,-1.10934044192,-1.38269012804,-0.532522826197,-0.292705784992,0.072081082985,0.0789706942391,-0.282955912641,-0.544668287354,-1.18894673424,-1.30566243579,-0.889556498877,-2.09160816274,-0.145775366623,-0.0913886243671
"GrandBassa",-1.17596837575,-2.49345587883,-0.175724793167,-1.21757539519,-1.23224810316,-1.42043258857,-0.668220678373,-0.913313128397,0,-0.587397567344,-0.342475134799,-0.517505119157,-2.78353866428,-0.0319877670579,-1.99137197009,1.2083470629,1.39649755233,1.16575216745,1.00005010683,0.94876379097,1.13075060005,0.687745035183,0.299942001072,0.812645318365,0.351148073229,0.88294426468,1.13904312782,0.980946799755,1.11203070718,0.847278487841,0.964855117332,1.20393493321,1.39923760629,1.19817079636,1.09590206928,1.15131351374,0.372582377478,-0.0390194610783,-0.193088287191,-0.0161379615105,-0.33401849146,-0.540240431542,-0.312756101832,-0.292511219536,0.0967833594353,0.437763073638,0.72662779387,0.602240901812,0.497235809242,0.327877665878,-0.0387023703667,-0.00405524126041,0.148693867239,-0.329885996755,0.615311183685,0.650412545692
"GrandGedeh",-1.88418309893,-1.0677198127,-1.64891139718,-1.12151317949,0.032747583688,-0.55189155108,-0.0355165021232,0.275896560864,-0.587397567344,0,-1.07972092485,-0.0594212457073,-0.334327883893,-0.905981934937,-0.105797273149,1.5291204547,1.66762748104,1.47171796441,1.36813014117,1.11735761573,1.24504002047,0.874158723552,0.472296548777,0.781815039906,0.325415212598,0.925689262029,1.09641158924,1.34204149326,1.44081535195,1.23685180379,1.28827418548,1.46082577187,1.55970285154,1.35175475034,1.31924288025,1.39640498925,0.0381030882092,0.238754047475,-0.693915951962,0.0402363701747,-0.65709626381,-0.644958079993,0.299879045509,0.400563451732,0.529256451328,0.892864659572,1.15278471276,0.922756615618,0.988753324212,0.862043896598,0.621659202809,0.717600453869,0.759806554356,0.516651044111,1.12143989122,1.14881435127
