"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081,-0.282196134081
"RiverCess",-0.935163584102,0,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102,-0.935163584102
"RiverGee",-0.215263406118,-0.215263406118,0,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118,-0.215263406118
"Sinoe",-0.173806458142,-0.173806458142,-0.173806458142,0,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142,-0.173806458142
"Bomi",-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,0,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152,-0.211763248152
"Bong",-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,0,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859,-0.226213618859
"Gbarpolu",0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544,0.232448692544
"GrandCapeMount",0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171,0.592840291171
"GrandBassa",-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,0,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405,-1.15279645405
"GrandGedeh",0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862,0.49115546862
"GrandKru",-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,0,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898,-0.471173266898
