"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876,-0.22051365876
"RiverCess",-1.07736765225,0,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225,-1.07736765225
"RiverGee",-1.12609377668,-1.12609377668,0,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668,-1.12609377668
"Sinoe",-1.27163758864,-1.27163758864,-1.27163758864,0,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864,-1.27163758864
"Bomi",0.080624097933,0.080624097933,0.080624097933,0.080624097933,0,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933,0.080624097933
"Bong",-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,0,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017,-0.235451190017
"Gbarpolu",-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,0,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421,-1.37133590421
"GrandCapeMount",-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,0,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829,-0.527918369829
"GrandBassa",-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,0,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051,-0.468923829051
"GrandGedeh",-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,0,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867,-1.18044762867
