"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124,0.953669646124
"RiverCess",-1.9601365376,0,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376,-1.9601365376
"RiverGee",-1.78070721933,-1.78070721933,0,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933,-1.78070721933
"Sinoe",-1.43401551925,-1.43401551925,-1.43401551925,0,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925,-1.43401551925
"Bomi",-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,0,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368,-1.15674947368
"Bong",0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348,0.385064444348
"Gbarpolu",-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,0,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332,-1.63196806332
"GrandCapeMount",-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,0,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219,-1.05156037219
"GrandBassa",-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,0,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941,-0.27440179941
"GrandGedeh",-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,0,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766,-1.1170294766
