"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038,-0.914655859038
"RiverCess",-1.10981327878,0,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878,-1.10981327878
"RiverGee",-2.50475504759,-2.50475504759,0,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759,-2.50475504759
"Sinoe",-1.60578503609,-1.60578503609,-1.60578503609,0,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609,-1.60578503609
"Bomi",-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,0,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622,-0.196290763622
"Bong",-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,0,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378,-1.02999768378
"Gbarpolu",-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,0,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539,-0.838286338539
"GrandCapeMount",-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,0,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077,-0.295843697077
"GrandBassa",-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,0,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557,-0.729780124557
"GrandGedeh",-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,0,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729,-1.41639704729
