"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169,-0.320511146169
"RiverCess",-0.169616103475,0,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475,-0.169616103475
"RiverGee",-0.162147962037,-0.162147962037,0,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037,-0.162147962037
"Sinoe",-0.254612618919,-0.254612618919,-0.254612618919,0,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919,-0.254612618919
"Bomi",-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,0,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421,-0.0560933857421
"Bong",-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,0,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643,-0.223617028643
"Gbarpolu",0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762,0.341797102762
"GrandCapeMount",0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272,0.0285547952272
"GrandBassa",-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,0,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951,-0.0771293333951
"GrandGedeh",0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252,0.315112453252
