"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",0,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209
"RiverCess",-1.53383854724,0,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724
"RiverGee",-0.440765089426,-0.440765089426,0,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426,-0.440765089426
"Sinoe",-1.70551660182,-1.70551660182,-1.70551660182,0,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182
"Bomi",-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,0,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642
"Bong",-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,0,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839
"Gbarpolu",-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,0,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111
"GrandCapeMount",-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,0,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957
"GrandBassa",-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,0,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384
"GrandGedeh",-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,0,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158,-0.567964701158
