"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-0.498193,1.81348,1.29125,0.0143506,-0.438147,-1.62305,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC2",-0.749761,0,1.81348,1.29125,0.0143506,-0.438147,-1.62305,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC3",-0.749761,1.29125,0,1.29125,0.0143506,-0.438147,-1.62305,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC4",-0.498193,0.0143506,0.0143506,0,0.0143506,-0.438147,-1.62305,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC5",-0.749761,-0.749761,-0.438147,-0.749761,0,-0.438147,-1.62305,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC6",-0.498193,-0.498193,-1.62305,-0.498193,-0.498193,0,-1.62305,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC7",1.81348,1.81348,-0.749761,1.81348,1.81348,-0.749761,0,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC8",-0.749761,1.29125,-0.498193,1.29125,1.29125,-0.498193,0.743666,0,0.743666,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC9",-0.498193,0.0143506,1.81348,0.0143506,0.0143506,1.81348,0.368185,0.0143506,0,0.368185,0.472695,-1.18433,1.16054,-0.0814589
"AC10",1.81348,-0.438147,1.29125,-0.438147,-0.438147,1.29125,0.472695,-0.438147,0.472695,0,0.472695,-1.18433,1.16054,-0.0814589
"AC11",1.29125,-0.749761,0.0143506,-1.62305,-1.62305,0.0143506,-0.749761,-1.62305,-1.18433,1.29125,0,-1.18433,1.16054,-0.0814589
"AC12",-0.749761,-0.498193,-0.438147,-1.28923,-1.28923,-0.438147,-0.498193,-1.28923,-0.749761,0.0143506,-1.28923,0,1.16054,-0.0814589
"AC13",-0.498193,1.81348,-1.62305,0.743666,0.743666,-1.62305,1.81348,0.743666,-0.498193,-0.438147,0.743666,0.472695,0,-0.0814589
"AC14",1.81348,1.29125,-1.28923,-0.749761,0.368185,-1.28923,1.29125,0.368185,1.81348,-1.62305,0.368185,-1.18433,1.16054,0
