"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-1.55816,0.0371812,0.879363,-1.21487,0.589014,-0.363564,-1.54168,0.395494,1.83437,0.258463,-1.51106,1.1688,-1.16864
"AC2",-1.55816,0,0.503879,-0.481743,0.612255,-1.41927,-1.54221,1.75973,-1.12404,-1.02132,-0.548557,1.39586,-0.838121,1.04149
"AC3",0.0371812,0.315383,0,1.19037,0.539805,0.28774,-0.182803,0.354571,0.610605,0.469334,0.477455,0.353153,1.05244,0.623062
"AC4",0.503879,-1.23792,0.329458,0,0.383605,0.315383,-0.522234,-0.517612,0.833256,1.39252,1.51476,-0.209296,1.75605,0.421823
"AC5",0.879363,-0.363564,-1.44098,1.83437,0,-1.23792,-1.44271,0.329458,-0.528643,-0.552553,0.680677,0.887723,-0.255365,1.19794
"AC6",-0.481743,-1.54221,-1.63433,-1.02132,-0.548557,0,1.21272,-1.44098,0.364038,0.312672,-0.535398,-1.45087,0.440214,-1.3225
"AC7",1.19037,-0.182803,0.395494,0.469334,0.477455,-1.51106,0,-1.63433,0.411409,-0.701906,-1.12086,-1.66081,-0.314147,-1.61537
"AC8",-1.21487,-0.522234,-1.12404,1.39252,1.51476,1.39586,-1.13122,0,-1.20306,-1.0213,-0.695167,1.65664,-0.905026,1.04518
"AC9",0.612255,-1.44271,0.610605,-0.552553,0.680677,0.353153,-0.954892,-0.255365,0,0.648308,0.689372,-1.13122,1.36428,-0.52206
"AC10",0.539805,1.21272,0.833256,0.312672,-0.535398,-0.209296,-0.353628,0.440214,1.31717,0,0.870277,-0.954892,1.71494,-0.502551
"AC11",0.383605,-1.54168,-0.528643,-0.701906,-1.12086,0.887723,1.1688,-0.314147,-0.827568,0.421823,0,-0.353628,1.31717,0.692906
"AC12",0.589014,1.75973,0.364038,-1.0213,-0.695167,-1.45087,-0.838121,-0.905026,-1.16864,1.19794,1.04518,0,-0.827568,1.0664
"AC13",-1.41927,0.354571,0.411409,0.648308,0.689372,-1.66081,1.05244,1.36428,1.04149,-1.3225,-0.52206,0.692906,0,-0.258114
"AC14",0.28774,-0.517612,-1.20306,0.258463,0.870277,1.65664,1.75605,1.71494,0.623062,-1.61537,-0.502551,1.0664,-0.258114,0
