"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-0.974064042,-0.644878639,-1.167445577,-2.312022249,0.200183155,0.699821506,-0.345345946,-1.784072823,-0.999134219,-2.024192335,-1.288617796,-1.792923681,-2.623666369
"AC2",1.154297251,0,-0.528451153,1.154297251,0.903064958,-0.15400503,-0.559710051,-0.837677931,1.129480385,1.096953048,1.098808114,0.024098112,1.157926551,1.06419784
"AC3",0.838520335,0.391353439,0,0.838520335,0.359539556,0.386586791,0.328540422,0.500809405,0.808763142,0.790874623,0.608115098,0.346080666,0.849839796,0.462191871
"AC4",0.552542872,-0.203146952,-0.062024196,0,-0.276780393,0.805588303,0.799165974,0.056275716,0.150449539,0.632349883,0.126342519,-0.355278426,0.226995189,0.008568985
"AC5",1.008744284,-0.077942219,-0.282859846,1.008744284,0,0.946014332,0.575562019,-0.495505827,0.403901646,1.102429431,0.300618207,0.112613059,0.57070303,0.456887122
"AC6",-0.888159806,-0.024769913,0.167013218,-0.888159806,-1.452259677,0,-0.351197767,0.351194115,0.031824549,-0.876197049,-0.149092317,-0.222819135,-0.127324901,-0.839792417
"AC7",-2.124746183,0.52249488,0.662696732,-2.124746183,-0.615105077,-5.396831618,0,0.801971,-1.357164257,-2.577047458,-1.710031145,0.374358881,-1.403361851,-1.385961884
"AC8",1.233473002,-1.303461007,-1.532311263,1.233473002,0.370192942,-0.086497981,-0.377873991,0,1.362905675,1.124977193,1.031851782,-1.024182452,1.39116067,0.725253518
"AC9",0.113271616,0.645795894,0.734843848,0.113271616,-0.974587649,0.853715849,1.163192699,0.800492673,0,0.15377454,-1.243435283,0.515860886,-0.22114779,-1.756897891
"AC10",0.0414826,-0.494709495,-0.428741722,0.0414826,-0.204570242,0.553485469,0.832032094,-0.351662136,0.10130106,0,-0.016579686,-0.532225103,0.106681849,-0.097934725
"AC11",0.367559676,0.171777397,-0.020544309,0.367559676,-0.124305734,1.118969225,1.054327425,-0.233530955,-0.081837804,0.519604088,0,0.305543359,0.045776267,-0.532215425
"AC12",1.29716524,-1.262119799,-1.434209933,1.29716524,-0.185091039,0.294423305,-0.161426101,-1.576316471,1.184662769,1.283472348,0.797101848,0,1.242971336,0.330490671
"AC13",0.214028921,0.281328827,0.369349814,0.214028921,-0.141971212,0.746153165,1.003164407,0.437261627,0.131888712,0.228809364,-0.091220497,0.184836665,0,-0.190844948
"AC14",0.752399072,-1.688718753,-2.039022555,0.752399072,0.281165271,1.060828818,0.813440922,-2.198477351,1.108613632,0.68823064,1.01782935,-1.296276673,1.052248552,0
