"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,0.147201838,0.29527051,-1.711606457,-1.452674768,-0.430678571,-0.131052635,0.411701502,-2.235370326,-1.720318176,-2.231256259,-0.047954065,-1.947951172,-1.730397492
"AC2",1.156144262,0,-1.602564211,1.156144262,0.295265114,0.629247139,0.272828881,-1.752894267,1.120334567,1.18414324,0.933288197,-1.089469074,1.125954174,0.660488265
"AC3",0.840468852,0.600474223,0,0.840468852,0.357046959,0.603803685,0.508682267,0.598370003,0.567951168,0.88089976,0.398307281,0.578160961,0.642975094,0.350181598
"AC4",0.192504262,0.263589196,0.327254317,0,-0.441412541,0.864289897,0.874495632,0.391336542,0.134292683,0.267846577,-0.228009405,0.191286227,0.168776217,-0.499774714
"AC5",0.441971978,-0.782335565,-0.846672569,0.441971978,0,1.275480076,1.208126753,-0.852256942,0.413790231,0.606151162,0.616379283,-0.638890173,0.340312205,0.570994559
"AC6",0.075744116,0.733776585,0.89515781,0.075744116,-0.375802679,0,-1.019772553,1.044149905,-0.388541294,-0.080903427,-1.385009577,0.56483953,-0.102328649,-0.845955517
"AC7",-1.291409103,1.112979502,1.244787685,-1.291409103,0.256241611,-5.418697889,0,1.357760824,-1.647532653,-1.336880449,-0.561015459,0.973467215,-1.638728751,-0.086152225
"AC8",1.385899992,-1.66965194,-1.662714804,1.385899992,-0.666113178,0.577097533,0.254890196,0,0.910148119,1.413710805,0.408793191,-1.665475688,1.060050429,-0.076659734
"AC9",-0.348148578,0.947862557,0.991105028,-0.348148578,0.373574402,0.094277077,0.353778573,1.003941904,0,-0.173251374,-0.914846788,0.890945106,-1.179468005,-0.151280602
"AC10",0.144128421,-0.110962372,0.007640421,0.144128421,-0.465741403,0.208712026,0.361208934,0.126789448,-0.013481543,0,-0.156934433,-0.214897321,0.028100819,-0.316466378
"AC11",-0.036131409,-0.502545832,-0.614257164,-0.036131409,0.402029162,0.990765592,1.098077421,-0.740002822,-0.58301071,0.089476506,0,-0.367609071,-0.548537152,0.284214541
"AC12",1.210459152,-1.624789326,-1.645375867,1.210459152,-0.853177623,1.010910169,0.707323349,-1.690083014,0.616626595,1.267851079,-0.137761452,0,0.828990879,-0.529110336
"AC13",0.174235221,0.525285462,0.515494721,0.174235221,0.135804213,0.3631064,0.508982697,0.501192317,-0.114762193,0.199996,-0.095319491,0.514312085,0,-0.000417707
"AC14",1.135605545,-2.044997807,-2.059496044,1.135605545,-0.872695706,1.037178929,1.15703937,-2.15669103,0.927783231,1.080126552,0.321165079,-2.09374074,1.046248436,0
