"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,0.709065266,0.834948746,-2.219788929,-0.238643015,-0.895844715,-0.671642098,0.955266071,-1.913654653,-1.926254657,-1.420440773,0.592415892,-2.215587331,-0.870643647
"AC2",1.2073118,0,-1.808083334,1.2073118,-0.733545464,1.21118622,1.006945358,-1.777500109,0.888361759,1.21305097,0.364688204,-1.813523331,1.01628584,-0.131252693
"AC3",0.643175916,0.668623963,0,0.643175916,0.611930112,0.903509759,0.787230894,0.686128877,0.438661637,0.719796048,0.427784518,0.667485811,0.469922693,0.501902676
"AC4",0.200290931,0.605015137,0.675247483,0,0.165075513,0.744157362,0.864734072,0.735261963,-0.330551686,0.235508135,-0.387662973,0.532457231,-0.169719481,-0.0957016
"AC5",0.485735057,-0.787613504,-0.784672747,0.485735057,0,1.216691195,1.331278412,-0.79143416,0.697177471,0.410693715,0.395376848,-0.795519458,0.692634385,0.030156827
"AC6",-0.333666839,1.363886452,1.428843847,-0.333666839,0.461533681,0,-0.517096855,1.449207152,-1.107224983,-0.041364746,-0.320657199,1.261316469,-1.35133594,0.083606745
"AC7",-1.619444446,1.565832714,1.540565358,-1.619444446,0.914664071,-2.481996236,0,1.450488658,-0.237355774,-1.610453233,0.324834439,1.531758508,-0.509810558,0.633728807
"AC8",0.992653435,-1.534241033,-1.465894634,0.992653435,-1.579575996,1.239356678,0.972149078,0,0.251475344,1.14574506,-0.617144332,-1.596192513,0.4806317,-1.201760393
"AC9",-1.515391765,0.99711645,0.906794133,-1.515391765,0.913178025,0.263083379,0.23692774,0.802606262,0,-1.141421275,0.444663598,1.061405351,-0.871169987,0.757673575
"AC10",0.049372666,0.393427713,0.488769411,0.049372666,-0.244992181,0.131007095,0.164188342,0.60644628,-0.172741917,0,-0.412509455,0.300333003,-0.097132321,-0.388786391
"AC11",-0.532273779,-1.045828475,-1.041498531,-0.532273779,-0.126244238,0.630822921,0.910113876,-0.70303152,0.190612274,-0.497066763,0,-0.861695758,-0.016448753,0.281180228
"AC12",0.692886959,-1.860206516,-1.941160745,0.692886959,-1.476040434,1.398679336,1.304841652,-1.893900168,-0.294393756,0.909769497,-0.808188751,0,-0.077551417,-1.160203342
"AC13",-0.054062826,0.585143977,0.606530026,-0.054062826,0.54805055,0.338509958,0.353860169,0.632989231,0.011958941,0.016809222,0.201834621,0.572218055,0,0.391303626
"AC14",1.010663751,-2.26281404,-1.941397105,1.010663751,-2.101449615,0.800329872,0.887556577,-1.540527021,0.114425977,1.131649416,-0.828122101,-2.280534824,0.391139216,0
