"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-0.427475,2.58121,0.990701,0.416026,-0.760837,-1.12935,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC2",-0.590186,0,2.58121,0.990701,0.416026,-0.760837,-1.12935,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC3",-0.590186,0.990701,0,0.990701,0.416026,-0.760837,-1.12935,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC4",-0.427475,0.416026,0.416026,0,0.416026,-0.760837,-1.12935,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC5",-0.590186,-0.590186,-0.760837,-0.590186,0,-0.760837,-1.12935,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC6",-0.427475,-0.427475,-1.12935,-0.427475,-0.427475,0,-1.12935,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC7",2.58121,2.58121,-0.590186,2.58121,2.58121,-0.590186,0,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC8",-0.590186,0.990701,-0.427475,0.990701,0.990701,-0.427475,0.657339,0,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC9",-0.427475,0.416026,2.58121,0.416026,0.416026,2.58121,-0.590186,0.416026,0,-0.590186,0.0196415,-0.940244,0.883073,0.0196415
"AC10",2.58121,-0.760837,0.990701,-0.760837,-0.760837,0.990701,0.0196415,-0.760837,0.0196415,0,0.0196415,-0.940244,0.883073,0.0196415
"AC11",0.990701,-0.590186,0.416026,-1.12935,-1.12935,0.416026,-0.590186,-1.12935,-0.940244,0.990701,0,-0.940244,0.883073,0.0196415
"AC12",-0.590186,-0.427475,-0.760837,-1.12935,-1.12935,-0.760837,-0.427475,-1.12935,-0.590186,0.416026,-1.12935,0,0.883073,0.0196415
"AC13",-0.427475,2.58121,-1.12935,0.657339,0.657339,-1.12935,2.58121,0.657339,-0.427475,-0.760837,0.657339,0.0196415,0,0.0196415
"AC14",2.58121,0.990701,-1.12935,-0.590186,-0.590186,-1.12935,0.990701,-0.590186,2.58121,-1.12935,-0.590186,-0.940244,0.883073,0
