"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-1.920561996,-1.919812499,0.027964596,-1.300858451,0.990874215,0.88620527,-1.688086924,-0.441461205,0.185926075,-0.708720655,-1.691204883,-0.32346962,-1.009550167
"AC2",0.067235329,0,0.783481568,0.067235329,0.900367486,-1.131985669,-1.372676193,0.710250094,0.599228241,-0.078285308,0.854883491,0.852008328,0.479824219,0.917298507
"AC3",0.355600144,0.381374958,0,0.355600144,0.670546077,0.493113163,0.534336842,0.304800099,0.499237303,0.324976343,0.626560223,0.433369383,0.460541199,0.683265262
"AC4",0.652914473,0.042988939,-0.05222689,0,0.205926868,0.732629465,0.656426754,-0.169871221,0.633021162,0.637536089,0.508306587,0.104709377,0.657957836,0.373906832
"AC5",0.847160201,0.377417809,0.433273631,0.847160201,0,-0.308479834,-0.538967046,0.470071961,0.963822959,0.74228875,0.858968672,0.316534278,0.969589618,0.698779459
"AC6",-0.843053545,-0.58985752,-0.920259166,-0.843053545,-0.058382911,0,0.691000691,-1.04673561,-0.40948054,-0.70991857,-0.61701404,-0.291534726,-0.468878285,-0.465805839
"AC7",-4.911041111,-0.997279891,-0.684643042,-4.911041111,-1.010259628,0.01168573,0,-0.422249014,-3.415808379,-3.989241458,-1.885786,-1.245695941,-4.103777196,-1.292701516
"AC8",0.08265648,0.577609288,0.454994007,0.08265648,1.074351576,-0.932462617,-1.117452655,0,0.562685043,-0.027927527,0.875788474,0.69271275,0.440301207,1.020824753
"AC9",0.478590394,-1.273984533,-1.032220982,0.478590394,-0.128371342,0.326447588,0.222561204,-0.690409815,0,0.673437471,0.151306952,-1.168479607,0.07438245,0.062905124
"AC10",0.355202134,-0.036458919,-0.070988965,0.355202134,0.116177533,0.949936729,0.900323871,-0.116005099,0.115438479,0,0.053294616,-0.007285383,0.161110122,0.088287627
"AC11",0.863148157,-0.360416377,-0.219191789,0.863148157,0.070744205,0.771065663,0.587649831,-0.056130724,0.701914315,0.871306751,0,-0.43891872,0.753810918,0.216990164
"AC12",0.404276455,0.283130698,0.0854809,0.404276455,0.963807773,-1.264877842,-1.051164456,-0.101474329,0.857824629,0.256225766,0.994020041,0,0.76907804,1.002639002
"AC13",0.480592589,-0.105766534,-0.096819397,0.480592589,0.154504443,0.768077121,0.700934609,-0.069308522,0.241055818,0.593199657,0.207280175,-0.084043708,0,0.179757174
"AC14",0.871928185,0.583448023,0.429162277,0.871928185,0.821535579,-0.442105956,-0.5531525,0.24633576,0.703315957,0.827936142,0.54999158,0.706078005,0.788986542,0
