"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-1.466451083,-1.524626934,0.727965333,-0.838638556,0.84101224,0.795750466,-1.675084769,-0.032788851,0.871580088,-0.41721783,-1.479147531,0.140003005,-0.656639701
"AC2",-0.640604455,0,0.873026322,-0.640604455,0.87176618,-1.755018617,-1.629810586,0.873279911,0.010168856,-0.785769889,0.46149408,0.898308448,-0.149014136,0.705971492
"AC3",0.24724735,0.590314527,0,0.24724735,0.622006546,0.496022028,0.459004979,0.472874989,0.325607099,0.274933283,0.440400653,0.636603556,0.292108152,0.527615942
"AC4",0.653385474,0.076571142,0.079949582,0,0.492650545,0.57436126,0.541278029,0.079749133,0.650835092,0.690833581,0.656351956,0.099420433,0.634012892,0.59052997
"AC5",0.281976088,0.209838593,0.186054453,0.281976088,0,-0.914673815,-0.840047182,0.221957889,0.863317781,0.116680848,0.997241609,0.306237053,0.748600365,0.969252292
"AC6",-0.066559512,0.046004375,-0.002398253,-0.066559512,-0.738321971,0,0.981545217,-0.145005368,-0.985583429,0.138065885,-0.576278338,0.002622581,-0.83994894,-0.531185959
"AC7",-2.10744652,-1.167639434,-1.275314746,-2.10744652,-2.126213897,0.469069658,0,-1.418729609,-5.435498208,-1.522180047,-4.552443487,-1.130790645,-4.427154444,-3.1454885
"AC8",-0.43584089,1.028179279,0.934496663,-0.43584089,0.894633848,-1.306571238,-1.279595714,0,0.027037838,-0.530614541,0.418260409,1.088783209,-0.093928463,0.677725241
"AC9",0.949668421,-0.52937323,-0.756847369,0.949668421,0.10213363,0.25025985,0.369136853,-1.037987937,0,0.906495096,0.017986992,-0.348797858,0.673284912,0.080901513
"AC10",0.758232648,0.037540482,0.002148999,0.758232648,-0.005080695,0.801554111,0.611665057,-0.036875218,0.325171723,0,0.112857181,0.059315332,0.428297276,0.021854534
"AC11",0.797493559,-0.227828073,-0.385975781,0.797493559,0.400650109,0.288452452,-0.077570998,-0.514926319,0.880806782,0.773989685,0,-0.090125764,0.889731354,0.627367507
"AC12",-0.363063127,0.870791144,0.766953307,-0.363063127,1.023965708,-1.127267213,-1.327877048,0.627087954,0.378853436,-0.587117989,0.777904795,0,0.216902856,0.947791971
"AC13",0.851968469,0.041286705,-0.024248916,0.851968469,0.163361957,0.607397777,0.482562908,-0.097782031,0.462334589,0.876354013,0.240854997,0.08427482,0,0.175822654
"AC14",0.493083799,0.89340947,0.868843267,0.493083799,0.538249177,-0.675982942,-0.882582925,0.807201335,0.890411132,0.316929123,0.799682427,0.881281202,0.84228885,0
