"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761,-0.749761
"AC2",-0.498193,0,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193,-0.498193
"AC3",1.81348,-0.438147,0,1.81348,1.81348,1.81348,1.81348,1.81348,1.81348,1.81348,1.81348,1.81348,1.81348,1.81348
"AC4",1.81348,-0.438147,-1.28923,0,1.29125,1.29125,1.29125,1.29125,1.29125,1.29125,1.29125,1.29125,1.29125,1.29125
"AC5",1.29125,-1.62305,-1.28923,0.368185,0,0.0143506,0.0143506,0.0143506,0.0143506,0.0143506,0.0143506,0.0143506,0.0143506,0.0143506
"AC6",1.29125,-1.62305,-1.28923,0.368185,0.472695,0,-0.438147,-0.438147,-0.438147,-0.438147,-0.438147,-0.438147,-0.438147,-0.438147
"AC7",1.29125,-1.62305,0.743666,0.368185,0.472695,-1.18433,0,-1.62305,-1.62305,-1.62305,-1.62305,-1.62305,-1.62305,-1.62305
"AC8",0.0143506,-1.62305,0.743666,0.368185,0.472695,-1.18433,-1.18433,0,-1.28923,-1.28923,-1.28923,-1.28923,-1.28923,-1.28923
"AC9",0.0143506,-1.62305,0.743666,0.368185,0.472695,-1.18433,-1.18433,1.16054,0,0.743666,0.743666,0.743666,0.743666,0.743666
"AC10",0.0143506,-1.62305,0.743666,0.368185,0.472695,-1.18433,-1.18433,1.16054,1.16054,0,0.368185,0.368185,0.368185,0.368185
"AC11",0.0143506,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,1.16054,1.16054,-0.0814589,0,0.472695,0.472695,0.472695
"AC12",-0.438147,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,1.16054,-0.0814589,-0.0814589,-0.0814589,0,-1.18433,-1.18433
"AC13",-0.438147,-1.28923,0.743666,0.368185,0.472695,-1.18433,1.16054,1.16054,-0.0814589,-0.0814589,-0.0814589,-0.0814589,0,1.16054
"AC14",-0.438147,-1.28923,0.743666,0.472695,0.472695,-1.18433,1.16054,1.16054,-0.0814589,-0.0814589,-0.0814589,-0.0814589,-0.0814589,0
