"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186,-0.590186
"AC2",-0.427475,0,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475,-0.427475
"AC3",2.58121,-0.760837,0,2.58121,2.58121,2.58121,2.58121,2.58121,2.58121,2.58121,2.58121,2.58121,2.58121,2.58121
"AC4",2.58121,-0.760837,-1.12935,0,0.990701,0.990701,0.990701,0.990701,0.990701,0.990701,0.990701,0.990701,0.990701,0.990701
"AC5",0.990701,-1.12935,-1.12935,-0.590186,0,0.416026,0.416026,0.416026,0.416026,0.416026,0.416026,0.416026,0.416026,0.416026
"AC6",0.990701,-1.12935,-1.12935,-0.590186,0.0196415,0,-0.760837,-0.760837,-0.760837,-0.760837,-0.760837,-0.760837,-0.760837,-0.760837
"AC7",0.990701,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0,-1.12935,-1.12935,-1.12935,-1.12935,-1.12935,-1.12935,-1.12935
"AC8",0.416026,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,-0.940244,0,-1.12935,-1.12935,-1.12935,-1.12935,-1.12935,-1.12935
"AC9",0.416026,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,-0.940244,0.883073,0,0.657339,0.657339,0.657339,0.657339,0.657339
"AC10",0.416026,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,-0.940244,0.883073,0.883073,0,-0.590186,-0.590186,-0.590186,-0.590186
"AC11",0.416026,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.883073,0.883073,0.0196415,0,0.0196415,0.0196415,0.0196415
"AC12",-0.760837,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.883073,0.0196415,0.0196415,0.0196415,0,-0.940244,-0.940244
"AC13",-0.760837,-1.12935,0.657339,-0.590186,0.0196415,-0.940244,0.883073,0.883073,0.0196415,0.0196415,0.0196415,0.0196415,0,0.883073
"AC14",-0.760837,-1.12935,0.657339,0.0196415,0.0196415,-0.940244,0.883073,0.883073,0.0196415,0.0196415,0.0196415,0.0196415,0.0196415,0
