"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,0.614153945,0.588746561,-4.520285463,0.752836232,-0.576232247,-0.400345718,0.562580638,0.890996952,-2.50208496,0.834429368,0.638845531,0.90906962,0.7945819
"AC2",-0.018792327,0,0.944134029,-0.018792327,-0.931619715,0.353614963,0.418570108,0.926777158,-0.253923925,0.031306642,-0.483884456,-2.50208496,-0.188968781,-0.679468293
"AC3",0.031306642,-2.50208496,0,0.031306642,-0.79650767,0.38669411,0.449327416,0.944134029,-0.188968781,0.078696201,-0.400345718,-1.894546071,-0.128496989,-0.576232247
"AC4",-4.520285463,0.614153945,0.588746561,0,0.752836232,-0.576232247,-0.400345718,0.562580638,0.890996952,-2.50208496,0.834429368,0.638845531,0.90906962,0.7945819
"AC5",-0.400345718,0.853693733,0.834429368,-0.400345718,0,0.123654432,0.20719317,0.814732059,-0.79650767,-0.324080826,-1.287007182,0.872543779,-0.679468293,-1.894546071
"AC6",0.7945819,0.353614963,0.319238269,0.7945819,0.535609484,0,-1.894546071,0.283458063,0.709002431,0.814732059,0.638845531,0.38669411,0.731193321,0.588746561
"AC7",0.752836232,0.283458063,0.246154844,0.752836232,0.4790419,0.926777158,0,0.20719317,0.662860549,0.773957575,0.588746561,0.319238269,0.68623509,0.535609484
"AC8",0.078696201,-1.894546071,-2.50208496,0.078696201,-0.679468293,0.418570108,0.4790419,0,-0.128496989,0.123654432,-0.324080826,-1.539158603,-0.071929405,-0.483884456
"AC9",-1.287007182,0.709002431,0.68623509,-1.287007182,0.834429368,-0.253923925,-0.128496989,0.662860549,0,-1.091423345,0.90906962,0.731193321,-2.50208496,0.872543779
"AC10",0.944134029,0.588746561,0.562580638,0.944134029,0.731193321,-0.679468293,-0.483884456,0.535609484,0.872543779,0,0.814732059,0.614153945,0.890996952,0.773957575
"AC11",-0.79650767,0.773957575,0.752836232,-0.79650767,0.890996952,-0.071929405,0.031306642,0.731193321,-1.539158603,-0.679468293,0,0.7945819,-1.287007182,0.926777158
"AC12",-0.071929405,0.944134029,0.926777158,-0.071929405,-1.091423345,0.319238269,0.38669411,0.90906962,-0.324080826,-0.018792327,-0.576232247,0,-0.253923925,-0.79650767
"AC13",-1.539158603,0.68623509,0.662860549,-1.539158603,0.814732059,-0.324080826,-0.188968781,0.638845531,0.944134029,-1.287007182,0.890996952,0.709002431,0,0.853693733
"AC14",-0.576232247,0.814732059,0.7945819,-0.576232247,0.926777158,0.031306642,0.123654432,0.773957575,-1.091423345,-0.483884456,-1.894546071,0.834429368,-0.931619715,0
