AL	AR	AT	AU	BD	BG	BO	BR	BY	CA	CH	CL	CN	CO	DE	DK	EC	ES	FI	FJ	FR	GB	GF	GR	HK	ID	IN	IS	IT	JP	KH	KR	LA	LK	LV	MD	MM	MY	NL	NO	NP	NZ	PE	PH	PT	PY	RO	RS	SE	SG	TH	TW	UA	US	UY	VE	VN
 0.0000	 6.1148	 3.3192	 9.0629	 8.2265	 5.1458	 8.2838	 5.9467	 5.3844	 6.9027	 5.1697	 7.7831	 7.3049	 7.6487	 4.0696	 5.5951	 7.5703	 4.3637	 6.1743	 8.3367	 4.3058	 4.2095	 5.9947	 3.4730	 7.8552	 9.8312	 7.0215	 6.6402	 1.6627	 6.7555	 8.8211	 8.1213	 8.4811	 7.2956	 6.2006	 4.7583	 8.4061	 7.8695	 5.0213	 5.9863	 8.9765	 8.9040	 7.8117	 9.3974	 5.3774	 7.7909	 3.9818	 3.3904	 5.8993	 8.0083	 6.8381	 8.9400	 6.0268	 5.5522	 7.5003	 6.2463	 8.8017
 6.1148	 0.0000	 7.0946	 6.6693	 9.6163	 7.3511	 2.7559	 2.0062	 7.9984	 4.5092	 6.3044	 1.6683	 7.3304	 4.4274	 5.2103	 6.9340	 5.3305	 3.1504	 7.2002	 5.9431	 4.9439	 5.1206	 5.6167	 7.3767	 7.1532	 9.1217	 8.4917	 5.6163	 4.4521	 5.6171	10.2858	 6.4852	10.1779	 9.1875	 7.9264	 7.5476	10.1197	 8.5199	 6.2792	 6.8588	10.4932	 5.3237	 3.0444	 7.1160	 5.0214	 2.1343	 6.7711	 8.1724	 7.0163	 8.8441	 8.5517	 6.5465	 8.2119	 3.1587	 1.3855	 5.4253	 8.8790
 3.3192	 7.0946	 0.0000	 7.9105	 7.5450	 3.2732	 8.0375	 5.9222	 3.2526	 5.6645	 3.4349	 7.5910	 5.3193	 7.1585	 2.1700	 4.3441	 7.1509	 3.9443	 4.7882	 7.8465	 3.9408	 3.4445	 5.6297	 4.0251	 7.1917	 6.8652	 4.9200	 5.6401	 3.7109	 5.1374	 7.0483	 7.0797	 6.7082	 6.6323	 4.6293	 3.8336	 6.6333	 4.8438	 4.2805	 5.4551	 5.6573	 8.4138	 7.3215	 7.7793	 5.0707	 7.7664	 3.4234	 3.4588	 4.8548	 6.3182	 5.0652	 6.9001	 3.4237	 5.0620	 8.2056	 6.5365	 7.8647
 9.0629	 6.6693	 7.9105	 0.0000	 5.9576	 9.0561	 6.4861	 6.0078	 9.4517	 4.8611	 7.4607	 5.9326	 4.2433	 5.6071	 6.6636	 7.8140	 5.6824	 8.0283	 8.0626	 1.8551	 6.7770	 6.0581	 8.4658	 8.2046	 3.1412	 3.3562	 5.1873	 5.9683	 7.4001	 3.2973	 5.3192	 4.3827	 4.9791	 5.3632	 8.8640	10.2490	 4.9042	 3.0666	 6.6311	 8.7290	 6.1203	 1.3501	 5.7701	 4.8163	 8.0944	 7.8520	 9.6670	 9.1532	 8.1254	 2.1994	 3.3362	 4.9371	 8.5639	 3.5106	 8.0548	 5.7772	 4.5338
 8.2265	 9.6163	 7.5450	 5.9576	 0.0000	 7.8005	10.0187	 8.8765	 8.7392	 7.8074	 7.1651	10.1127	 5.2583	 9.1397	 6.5916	 7.5184	 9.2150	 6.4660	 7.9591	 7.8127	 6.7660	 4.4957	 8.4549	 7.6238	 4.1710	 5.5181	 3.0314	 6.9265	 6.5638	 6.1882	 5.2365	 6.5186	 4.8965	 5.2108	 7.3016	 9.5037	 4.5341	 3.4967	 6.9112	 7.1666	 3.5434	 7.2786	 9.3027	 6.6416	 6.9421	10.7208	 8.4209	 8.4352	 7.2859	 3.7582	 3.2535	 5.9865	 7.8646	 7.0432	10.9649	 9.3098	 6.0530
 5.1458	 7.3511	 3.2732	 9.0561	 7.8005	 0.0000	 8.4818	 6.1447	 5.1806	 6.4779	 4.9771	 7.8475	 6.6180	 7.5977	 2.3925	 5.3707	 7.4073	 4.2007	 5.2478	 8.3300	 4.0449	 3.3048	 5.7337	 3.8864	 7.4632	 8.7553	 6.1021	 5.7355	 3.4830	 7.0724	 8.6307	 7.3354	 8.2906	 6.8548	 5.2353	 5.9779	 8.2157	 7.5561	 4.7712	 5.6776	 8.1035	 8.8973	 7.8050	 9.5028	 5.2932	 7.9889	 4.8991	 5.3547	 5.3410	 6.9323	 6.6477	 8.7823	 5.5845	 5.5455	 8.4281	 6.7590	 8.1004
 8.2838	 2.7559	 8.0375	 6.4861	10.0187	 8.4818	 0.0000	 2.3371	 8.8774	 4.3260	 6.9256	 3.0940	 7.1472	 4.6941	 6.0893	 7.2789	 5.1473	 4.6928	 8.0836	 5.7600	 5.9046	 5.5230	 5.9476	 7.8582	 6.9700	 8.9385	 8.5547	 5.4332	 6.6211	 5.4339	10.1026	 6.3021	 9.9947	 9.5900	 8.3288	 9.6747	 9.9366	 9.4396	 6.0960	 8.1939	10.5561	 6.3273	 2.8008	 6.9329	 5.3523	 2.3161	 8.7920	 8.6181	 7.5903	 8.6855	 8.3685	 6.3633	 8.0288	 2.9755	 4.1414	 4.2304	 8.6958
 5.9467	 2.0062	 5.9222	 6.0078	 8.8765	 6.1447	 2.3371	 0.0000	 6.5403	 3.8477	 5.4419	 2.6720	 6.6689	 4.2524	 3.7522	 6.7303	 4.6690	 3.7002	 6.6075	 5.2816	 3.5674	 4.3808	 3.6105	 5.9186	 6.4917	 8.4602	 7.4618	 4.9548	 4.2840	 4.9556	 9.6243	 5.8237	 9.5164	 8.2144	 6.5950	 7.3375	 9.4582	 8.6321	 5.1139	 7.0373	 9.4632	 5.8490	 3.7058	 6.4545	 3.0152	 1.8442	 6.6031	 6.7143	 6.7006	 8.2072	 7.8902	 5.8850	 7.0073	 2.4972	 2.2834	 4.5005	 8.0633
 5.3844	 7.9984	 3.2526	 9.4517	 8.7392	 5.1806	 8.8774	 6.5403	 0.0000	 6.8735	 5.3727	 8.4948	 6.1536	 8.0376	 2.7881	 5.7663	 8.0546	 4.8480	 5.6434	 8.7256	 4.4661	 4.2434	 6.1550	 4.9546	 7.9123	 9.1509	 6.4977	 6.2582	 3.7217	 7.3563	 9.0263	 6.8207	 8.6862	 7.2504	 4.3373	 5.3452	 8.6113	 8.0964	 6.1433	 6.0732	 8.4991	 9.2929	 8.2006	 9.8282	 5.6888	 8.3845	 5.7915	 5.7503	 5.7366	 7.3279	 7.0433	 9.1779	 4.6711	 5.9411	 8.8237	 7.1546	 7.3266
 6.9027	 4.5092	 5.6645	 4.8611	 7.8074	 6.4779	 4.3260	 3.8477	 6.8735	 0.0000	 5.3006	 4.5350	 4.6317	 3.4470	 4.0854	 5.6539	 3.5223	 5.2819	 6.4585	 4.1349	 3.9134	 3.3116	 5.6023	 5.6799	 4.3492	 7.3135	 5.7748	 3.8081	 5.2400	 3.8089	 8.4776	 4.6770	 8.0999	 7.3786	 6.1175	 7.6708	 8.3115	 7.5630	 4.4328	 5.9825	 7.7762	 4.7023	 3.6100	 5.3078	 5.7580	 5.6919	 7.0888	 6.9930	 5.9652	 7.0605	 6.7435	 4.7383	 6.1678	 1.3505	 5.8947	 3.6171	 7.0708
 5.1697	 6.3044	 3.4349	 7.4607	 7.1651	 4.9771	 6.9256	 5.4419	 5.3727	 5.3006	 0.0000	 6.8008	 6.8101	 6.0466	 2.5846	 3.9523	 6.1219	 3.1541	 4.6098	 6.7346	 3.0249	 2.6693	 4.7138	 4.0770	 6.0045	 7.2124	 5.2543	 5.1001	 3.5070	 5.8822	 7.0468	 6.7304	 6.7067	 5.3058	 5.4274	 6.1700	 6.6318	 6.1914	 3.7302	 5.3402	 7.2557	 7.3019	 6.2096	 7.9075	 3.7186	 7.2861	 4.9853	 3.1008	 4.6080	 5.3894	 5.0638	 7.3379	 5.1708	 3.9501	 7.6530	 6.2167	 7.5208
 7.7831	 1.6683	 7.5910	 5.9326	10.1127	 7.8475	 3.0940	 2.6720	 8.4948	 4.5350	 6.8008	 0.0000	 7.3563	 4.5238	 5.7066	 7.4303	 4.1228	 3.6467	 7.6965	 5.9690	 6.2394	 5.6170	 6.2825	 7.8731	 7.1790	 9.1475	 8.7637	 5.6422	 6.1204	 5.6429	10.3117	 6.5111	10.2037	 9.6839	 8.4228	 9.2159	10.1456	 8.9993	 6.3050	 7.3552	10.7651	 4.5825	 2.5805	 7.1419	 5.6871	 3.3205	 7.7459	 8.6688	 7.5127	 8.1029	 8.5776	 6.5723	 8.2378	 3.1845	 3.0538	 5.4512	 8.9048
 7.3049	 7.3304	 5.3193	 4.2433	 5.2583	 6.6180	 7.1472	 6.6689	 6.1536	 4.6317	 6.8101	 7.3563	 0.0000	 6.2682	 4.2255	 5.0868	 6.3435	 6.2854	 4.3162	 6.0984	 4.4565	 5.2270	 6.1454	 6.3920	 1.8724	 4.4512	 5.4491	 6.6294	 5.6422	 2.1391	 3.9350	 2.0209	 3.4682	 6.1153	 7.0683	 6.6685	 4.3932	 3.3282	 4.9038	 7.2042	 4.6461	 5.5934	 6.4312	 3.9928	 7.1262	 8.5131	 7.2289	 7.1877	 6.2733	 2.9515	 3.1441	 3.5591	 5.9913	 4.1717	 8.7159	 6.4383	 3.6989
 7.6487	 4.4274	 7.1585	 5.6071	 9.1397	 7.5977	 4.6941	 4.2524	 8.0376	 3.4470	 6.0466	 4.5238	 6.2682	 0.0000	 5.2495	 6.3999	 2.2686	 3.3969	 7.2045	 4.8809	 4.6021	 4.6440	 6.2910	 6.9792	 6.0910	 8.0595	 7.6756	 4.5541	 5.9860	 4.5549	 9.2236	 5.4230	 9.1157	 8.7109	 7.4498	 8.8348	 9.0575	 8.5606	 5.2170	 7.1054	 9.6770	 5.4483	 3.3188	 6.0538	 6.1103	 6.0967	 7.4961	 7.7390	 6.7112	 7.8065	 7.4895	 5.4843	 7.1497	 2.0965	 5.8129	 2.3943	 7.8167
 4.0696	 5.2103	 2.1700	 6.6636	 6.5916	 2.3925	 6.0893	 3.7522	 2.7881	 4.0854	 2.5846	 5.7066	 4.2255	 5.2495	 0.0000	 2.9782	 5.2665	 2.0599	 2.8553	 5.9374	 2.8778	 2.7611	 4.5667	 2.1665	 5.1242	 6.3628	 3.7096	 3.4700	 2.4069	 4.6798	 6.2382	 4.9429	 5.8981	 4.4623	 2.8428	 3.5854	 5.8232	 5.7576	 3.3552	 3.2851	 5.7110	 6.5048	 5.4125	 7.1103	 2.9007	 5.5964	 3.0034	 2.9622	 2.9484	 4.5398	 4.2552	 6.3898	 3.2551	 3.1530	 6.0356	 4.3665	 5.7079
 5.5951	 6.9340	 4.3441	 7.8140	 7.5184	 5.3707	 7.2789	 6.7303	 5.7663	 5.6539	 3.9523	 7.4303	 5.0868	 6.3999	 2.9782	 0.0000	 6.4752	 3.7836	 3.0324	 7.0878	 3.6217	 3.0226	 5.3106	 4.8671	 6.9593	 7.9737	 6.3938	 2.5129	 3.9324	 5.6637	 6.6805	 7.1077	 6.3405	 7.0896	 3.4387	 6.5635	 6.2655	 7.2740	 3.7066	 2.1173	 7.4817	 7.6552	 6.5629	 8.2287	 5.0222	 8.5746	 5.9815	 4.8632	 2.5854	 6.1508	 4.6975	 7.6912	 6.2333	 4.3034	 8.2825	 6.5700	 7.4970
 7.5703	 5.3305	 7.1509	 5.6824	 9.2150	 7.4073	 5.1473	 4.6690	 8.0546	 3.5223	 6.1219	 4.1228	 6.3435	 2.2686	 5.2665	 6.4752	 0.0000	 3.2066	 7.2564	 4.9563	 5.4381	 4.7193	 7.1270	 7.0545	 6.1663	 8.1348	 7.7509	 4.6294	 5.9076	 4.6302	 9.2989	 5.4983	 9.1910	 8.7862	 7.5251	 8.8519	 9.1328	 8.6359	 5.2923	 6.9151	 9.7524	 5.5236	 2.6449	 6.1291	 5.9200	 6.5132	 7.3057	 7.8144	 6.7865	 7.8818	 7.5648	 5.5596	 7.2250	 2.1718	 6.7160	 3.7228	 7.8921
 4.3637	 3.1504	 3.9443	 8.0283	 6.4660	 4.2007	 4.6928	 3.7002	 4.8480	 5.2819	 3.1541	 3.6467	 6.2854	 3.3969	 2.0599	 3.7836	 3.2066	 0.0000	 4.0498	 7.3022	 2.8700	 1.9702	 4.5588	 4.2264	 6.1286	 7.7103	 5.3414	 4.4010	 2.7010	 6.4910	 8.2700	 7.0028	 7.9299	 6.0372	 4.7761	 5.6453	 7.8550	 6.2216	 3.2926	 3.7085	 7.3428	 7.8695	 3.6290	 8.4751	 2.7134	 5.2847	 4.0991	 5.0221	 3.8660	 5.8874	 6.2870	 7.9055	 5.2488	 4.5177	 4.4989	 3.4056	 7.3659
 6.1743	 7.2002	 4.7882	 8.0626	 7.9591	 5.2478	 8.0836	 6.6075	 5.6434	 6.4585	 4.6098	 7.6965	 4.3162	 7.2045	 2.8553	 3.0324	 7.2564	 4.0498	 0.0000	 7.8925	 4.1796	 3.4634	 5.8684	 5.0218	 6.1886	 8.3297	 6.5649	 5.5005	 4.5116	 4.8251	 6.7095	 6.3371	 6.3694	 7.3176	 3.2894	 6.4407	 6.2945	 7.6183	 4.0888	 3.8823	 7.5106	 8.4598	 7.3675	 7.4670	 5.6644	 8.4517	 5.8587	 5.8175	 2.3228	 7.2592	 4.7265	 7.2149	 5.8964	 5.1081	 8.5487	 7.2218	 7.5260
 8.3367	 5.9431	 7.8465	 1.8551	 7.8127	 8.3300	 5.7600	 5.2816	 8.7256	 4.1349	 6.7346	 5.9690	 6.0984	 4.8809	 5.9374	 7.0878	 4.9563	 7.3022	 7.8925	 0.0000	 6.0508	 5.3319	 7.7397	 7.6671	 4.9963	 5.2114	 7.0424	 5.2421	 6.6740	 4.0691	 7.1743	 4.2669	 6.8343	 7.2183	 8.1378	 9.5228	 6.7593	 4.9218	 5.9049	 8.0028	 7.9755	 2.1590	 5.0439	 6.6714	 7.3682	 7.1259	 8.9408	 8.4270	 7.3992	 4.0545	 5.1913	 6.1722	 7.8377	 2.7845	 7.3287	 5.0511	 6.3889
 4.3058	 4.9439	 3.9408	 6.7770	 6.7660	 4.0449	 5.9046	 3.5674	 4.4661	 3.9134	 3.0249	 6.2394	 4.4565	 4.6021	 2.8778	 3.6217	 5.4381	 2.8700	 4.1796	 6.0508	 0.0000	 2.5953	 1.6889	 3.9037	 5.3122	 6.8178	 4.0978	 4.1992	 2.6431	 4.3277	 6.4826	 5.2310	 6.7289	 5.1442	 5.4012	 5.5678	 6.6540	 5.6445	 3.5139	 3.7835	 6.0992	 6.6181	 5.5258	 6.9697	 2.9231	 5.4117	 3.3441	 4.0187	 3.6055	 4.9949	 5.0859	 6.4767	 4.3682	 3.2663	 5.8509	 4.0751	 4.4959
 4.2095	 5.1206	 3.4445	 6.0581	 4.4957	 3.3048	 5.5230	 4.3808	 4.2434	 3.3116	 2.6693	 5.6170	 5.2270	 4.6440	 2.7611	 3.0226	 4.7193	 1.9702	 3.4634	 5.3319	 2.5953	 0.0000	 4.2842	 3.1281	 4.1584	 5.7401	 3.3712	 2.4308	 2.5467	 4.5208	 6.2997	 5.5693	 5.9597	 4.0670	 2.8058	 5.6423	 5.8848	 4.2513	 2.4154	 2.6709	 5.3726	 5.8993	 4.8070	 6.5048	 2.4463	 6.2250	 4.1334	 3.9395	 2.7902	 3.9171	 4.3167	 5.9353	 4.3656	 2.5475	 6.4692	 4.8141	 7.0008
 5.9947	 5.6167	 5.6297	 8.4658	 8.4549	 5.7337	 5.9476	 3.6105	 6.1550	 5.6023	 4.7138	 6.2825	 6.1454	 6.2910	 4.5667	 5.3106	 7.1270	 4.5588	 5.8684	 7.7397	 1.6889	 4.2842	 0.0000	 5.5926	 7.0011	 8.5067	 5.7866	 5.8881	 4.3320	 6.0166	 8.1715	 6.9198	 8.4178	 6.8330	 7.0901	 7.2567	 8.3429	 7.3334	 5.1376	 5.4724	 7.7880	 8.3070	 7.2147	 8.6586	 4.6119	 5.4547	 5.0330	 5.7076	 5.2944	 6.6838	 6.7748	 8.1655	 6.0570	 4.9552	 5.8939	 5.7640	 6.1848
 3.4730	 7.3767	 4.0251	 8.2046	 7.6238	 3.8864	 7.8582	 5.9186	 4.9546	 5.6799	 4.0770	 7.8731	 6.3920	 6.9792	 2.1665	 4.8671	 7.0545	 4.2264	 5.0218	 7.6671	 3.9037	 3.1281	 5.5926	 0.0000	 7.2865	 7.8282	 5.8761	 5.5588	 3.1539	 6.8463	 7.7843	 7.1094	 7.4442	 6.6287	 5.0093	 4.7231	 7.3693	 7.3794	 4.2554	 5.4516	 7.8775	 8.2345	 7.1422	 8.8400	 5.0672	 7.7629	 3.8701	 4.7116	 5.1149	 6.0052	 5.8013	 8.2705	 5.1850	 4.8827	 8.2021	 6.5330	 7.8743
 7.8552	 7.1532	 7.1917	 3.1412	 4.1710	 7.4632	 6.9700	 6.4917	 7.9123	 4.3492	 6.0045	 7.1790	 1.8724	 6.0910	 5.1242	 6.9593	 6.1663	 6.1286	 6.1886	 4.9963	 5.3122	 4.1584	 7.0011	 7.2865	 0.0000	 3.5538	 5.2079	 6.4521	 6.1925	 3.0278	 4.4083	 3.4656	 4.3449	 6.2748	 6.9643	 8.5409	 4.2699	 3.5108	 5.3652	 6.8293	 4.5468	 4.1658	 6.2540	 2.4706	 6.6047	 8.3359	 8.1275	 8.0863	 6.9486	 3.1654	 2.7019	 1.8154	 7.8637	 3.9945	 8.5387	 6.2611	 3.2709
 9.8312	 9.1217	 6.8652	 3.3562	 5.5181	 8.7553	 8.9385	 8.4602	 9.1509	 7.3135	 7.2124	 9.1475	 4.4512	 8.0595	 6.3628	 7.9737	 8.1348	 7.7103	 8.3297	 5.2114	 6.8178	 5.7401	 8.5067	 7.8282	 3.5538	 0.0000	 4.8108	 8.1709	 8.1685	 3.5046	 5.3316	 4.2682	 5.6783	 4.9868	 8.5460	 9.9481	 4.6647	 2.0214	 6.5870	 8.4110	 5.9875	 4.7064	 8.2225	 4.8162	 8.1864	10.3044	 9.3661	 9.3249	 8.1515	 1.8230	 4.0353	 3.6309	 9.6179	 5.9630	10.5072	 8.2296	 4.9066
 7.0215	 8.4917	 4.9200	 5.1873	 3.0314	 6.1021	 8.5547	 7.4618	 6.4977	 5.7748	 5.2543	 8.7637	 5.4491	 7.6756	 3.7096	 6.3938	 7.7509	 5.3414	 6.5649	 7.0424	 4.0978	 3.3712	 5.7866	 5.8761	 5.2079	 4.8108	 0.0000	 5.8019	 5.3588	 5.8416	 5.3503	 5.4610	 5.0103	 2.1794	 6.1770	 7.2950	 3.9973	 3.5004	 4.6053	 6.0420	 2.0014	 6.5083	 7.8386	 5.9812	 5.8175	 9.3060	 6.7130	 6.6718	 6.1614	 2.9879	 3.3673	 6.0664	 5.8368	 5.5792	 9.7452	 7.8458	 6.0715
 6.6402	 5.6163	 5.6401	 5.9683	 6.9265	 5.7355	 5.4332	 4.9548	 6.2582	 3.8081	 5.1001	 5.6422	 6.6294	 4.5541	 3.4700	 2.5129	 4.6294	 4.4010	 5.5005	 5.2421	 4.1992	 2.4308	 5.8881	 5.5588	 6.4521	 8.1709	 5.8019	 0.0000	 4.9775	 4.9160	 8.7305	 5.7842	 8.3905	 6.4977	 5.2366	 7.0554	 8.3155	 6.6821	 4.1716	 3.4924	 7.8034	 5.8094	 4.7171	 6.4150	 4.8771	 6.7991	 6.4734	 6.3703	 3.6644	 6.3479	 6.7475	 5.8454	 6.7251	 2.4577	 7.0019	 4.7243	 8.1779
 1.6627	 4.4521	 3.7109	 7.4001	 6.5638	 3.4830	 6.6211	 4.2840	 3.7217	 5.2400	 3.5070	 6.1204	 5.6422	 5.9860	 2.4069	 3.9324	 5.9076	 2.7010	 4.5116	 6.6740	 2.6431	 2.5467	 4.3320	 3.1539	 6.1925	 8.1685	 5.3588	 4.9775	 0.0000	 5.0928	 7.1584	 6.4586	 6.8184	 5.6329	 4.5379	 3.0955	 6.7434	 6.2068	 3.3586	 4.3236	 7.3602	 7.2413	 6.1490	 7.7347	 3.7147	 6.1282	 2.3191	 3.8883	 4.2366	 6.3455	 5.1754	 7.2773	 4.3641	 3.8895	 5.8376	 4.5836	 7.1390
 6.7555	 5.6171	 5.1374	 3.2973	 6.1882	 7.0724	 5.4339	 4.9556	 7.3563	 3.8089	 5.8822	 5.6429	 2.1391	 4.5549	 4.6798	 5.6637	 4.6302	 6.4910	 4.8251	 4.0691	 4.3277	 4.5208	 6.0166	 6.8463	 3.0278	 3.5046	 5.8416	 4.9160	 5.0928	 0.0000	 4.9176	 1.9423	 4.5776	 6.0467	 7.3266	 7.8712	 4.5027	 4.0057	 4.8604	 7.1917	 5.7188	 4.2365	 4.7179	 2.6419	 6.9671	 6.7998	 7.4119	 7.6420	 7.0731	 3.4011	 2.9346	 2.3898	 7.1971	 2.4584	 7.0026	 4.7250	 3.2619
 8.8211	10.2858	 7.0483	 5.3192	 5.2365	 8.6307	10.1026	 9.6243	 9.0263	 8.4776	 7.0468	10.3117	 3.9350	 9.2236	 6.2382	 6.6805	 9.2989	 8.2700	 6.7095	 7.1743	 6.4826	 6.2997	 8.1715	 7.7843	 4.4083	 5.3316	 5.3503	 8.7305	 7.1584	 4.9176	 0.0000	 4.7164	 2.9685	 5.5560	 9.0810	 9.8136	 3.5510	 3.4181	 6.6808	 8.7978	 4.7672	 6.6693	 9.3866	 5.5142	 8.7461	11.4685	 9.2415	 9.2003	 7.1669	 3.5086	 1.9830	 3.7393	 7.6421	 7.1271	11.6713	 9.3937	 1.9867
 8.1213	 6.4852	 7.0797	 4.3827	 6.5186	 7.3354	 6.3021	 5.8237	 6.8207	 4.6770	 6.7304	 6.5111	 2.0209	 5.4230	 4.9429	 7.1077	 5.4983	 7.0028	 6.3371	 4.2669	 5.2310	 5.5693	 6.9198	 7.1094	 3.4656	 4.2682	 5.4610	 5.7842	 6.4586	 1.9423	 4.7164	 0.0000	 4.9080	 6.8380	 7.7857	 7.3356	 4.8331	 4.3703	 5.5791	 8.2280	 6.0492	 4.4196	 5.5860	 3.0074	 7.8436	 7.6680	 7.9463	 7.9051	 7.8914	 3.9377	 3.2651	 3.3500	 6.6616	 3.3266	 7.8708	 5.5932	 3.1143
 8.4811	10.1779	 6.7082	 4.9791	 4.8965	 8.2906	 9.9947	 9.5164	 8.6862	 8.0999	 6.7067	10.2037	 3.4682	 9.1157	 5.8981	 6.3405	 9.1910	 7.9299	 6.3694	 6.8343	 6.7289	 5.9597	 8.4178	 7.4442	 4.3449	 5.6783	 5.0103	 8.3905	 6.8184	 4.5776	 2.9685	 4.9080	 0.0000	 5.2159	 8.7409	 9.4736	 3.2110	 4.5348	 6.3408	 8.4578	 4.4271	 6.3293	 9.2787	 5.1742	 8.4060	11.3606	 8.9015	 8.8603	 6.8269	 4.1758	 1.6430	 3.6314	 7.3021	 7.0192	11.5634	 9.2858	 2.5836
