AL	AR	AT	AU	BD	BG	BO	BR	BY	CA	CH	CL	CN	CO	DE	DK	EC	ES	FI	FJ	FR	GB	GF	GR	HK	ID	IN	IS	IT	JP	KH	KR	LA	LK	LV	MD	MM	MY	NL	NO	NP	NZ	PE	PH	PT	PY	RO	RS	SE	SG	TH	TW	UA	US	UY	VE	VN
    0.0000	12364.5229	  809.0447	14725.1790	 6806.2797	  561.1407	10903.8738	 9358.7756	 1517.2472	 8169.9177	 1125.0433	12402.0819	 7929.1824	 9858.2893	 1315.9223	 1780.2914	10873.1490	 2133.3555	 2402.6632	16641.0041	 1396.5037	 2091.5054	 8165.7171	  593.6679	 8724.5523	10591.2963	 6018.1140	 3681.5278	  646.4000	 9242.1530	 8651.0562	 8749.8242	 8115.2155	 7015.3267	 1750.6496	  956.5040	 7420.2571	 9559.0715	 1590.8168	 2482.1165	 6057.3966	17832.4008	11118.2424	10318.8116	 3059.2228	10854.7426	  578.7259	  265.1395	 2065.6746	 9431.7039	 8278.5293	 9121.8422	 1218.1534	 9019.2141	11430.5441	 8941.7556	 8712.0424
12364.5229	    0.0000	12370.6098	12070.2132	17287.2572	12906.9067	 2353.8549	 3060.8456	13564.7423	10190.5176	11936.8590	  816.7659	19226.1274	 5242.2667	12331.5900	12691.3677	 4302.1513	10512.1018	13735.4480	10975.6397	11575.2664	11825.4634	 4987.0772	12558.5227	18235.7316	15390.6762	16137.5520	11987.8958	11920.6439	18119.4271	16972.8784	18802.5923	17476.3360	15112.5695	13462.4924	13305.6873	17328.3243	16190.1971	12117.2436	13120.9711	17071.2840	 9342.6244	 3301.7553	16799.5715	 9864.0623	 1638.8784	12911.4413	12567.0546	13217.5209	15769.9609	16917.6461	18311.8447	13569.0019	 9044.1375	  971.7584	 5384.8260	17368.0021
  809.0447	12370.6098	    0.0000	15137.4859	 7157.5044	 1080.7806	10683.4536	 9315.4038	 1204.0420	 7366.5216	  487.0755	12297.4000	 8020.8062	 9334.2483	  507.1880	 1002.5377	10396.4603	 1870.9686	 1821.5385	16377.5759	  859.4799	 1317.9986	 7865.7449	 1377.6353	 8896.5448	11003.5279	 6499.7934	 2872.8382	  569.7351	 9085.9872	 9004.4739	 8663.3981	 8430.8606	 7611.8884	 1239.3686	 1117.5148	 7769.6723	 9952.4995	  798.0024	 1746.6648	 6410.9297	18239.8591	10747.4787	10522.6567	 2667.9292	10790.3754	  811.7176	  662.6329	 1385.7260	 9886.3602	 8656.2744	 9218.0863	 1336.5757	 8237.7816	11480.4146	 8470.3857	 9010.6230
14725.1790	12070.2132	15137.4859	    0.0000	 7979.9915	14198.2680	14113.7255	14988.3660	14104.5074	14514.2692	15624.4954	12370.7626	 7390.8749	15406.3050	15374.9131	15162.1690	14438.8163	16849.1260	14190.9481	 3690.8806	15994.8199	16056.1655	16972.6389	14228.3696	 6407.9869	 4142.0196	 8707.5556	15886.6066	15356.1283	 7138.5183	 6133.8476	 7260.1002	 6716.5197	 7819.8612	14331.7926	14024.2965	 7368.0982	 5187.6315	15658.8414	14837.0348	 8726.7421	 3125.5573	14156.4612	 4786.6815	17781.5965	13706.4040	14371.7611	14653.4363	14681.2570	 5293.6127	 6482.1362	 6249.8473	13801.2726	14522.9041	12764.0196	16365.7236	 6149.2036
 6806.2797	17287.2572	 7157.5044	 7979.9915	    0.0000	 6256.5065	17539.1723	15581.7036	 6172.7166	11889.8523	 7644.5040	18041.0928	 2205.8247	16231.3745	 7417.4980	 7298.7897	17374.1317	 8931.8311	 6514.1126	10411.6945	 8015.3665	 8174.2177	14970.4272	 6387.7604	 2311.2914	 3858.2231	 1263.1078	 8743.1947	 7409.6629	 4456.0317	 1849.3685	 3746.4901	 1324.8438	 2204.2895	 6461.8706	 6045.8425	  614.4569	 2801.7737	 7719.5213	 7207.3336	  749.5858	11096.2451	17904.6766	 3647.1370	 9815.3047	16871.0269	 6401.6607	 6699.8577	 6907.3527	 2828.6678	 1504.2055	 2963.1066	 5821.3412	13114.5623	16588.8282	15551.2928	 1930.8062
  561.1407	12906.9067	 1080.7806	14198.2680	 6256.5065	    0.0000	11464.4217	 9912.6070	 1235.9093	 8362.2868	 1518.7810	12959.2322	 7372.9317	10354.7859	 1546.8851	 1871.7623	11388.9359	 2675.9463	 2227.1534	16129.6604	 1847.4597	 2391.3298	 8718.3861	  536.4302	 8163.5296	10058.2126	 5499.7497	 3853.8951	 1158.4919	 8731.4922	 8103.5344	 8221.9011	 7561.5967	 6552.1653	 1574.7535	  502.7020	 6870.8495	 9020.3890	 1864.4327	 2466.0160	 5507.1032	17320.3011	11662.3440	 9758.0328	 3583.3287	11409.4080	  326.7495	  460.5883	 2007.1192	 8909.0953	 7735.1535	 8564.2503	  733.4318	 9281.6646	11966.2937	 9457.0273	 8156.8602
10903.8738	 2353.8549	10683.4536	14113.7255	17539.1723	11464.4217	    0.0000	 2032.3659	11794.8630	 7964.6886	10207.2807	 1801.1782	18410.9061	 2979.5771	10518.4584	10764.9862	 2249.4041	 8832.2598	11722.0681	12080.0989	 9831.3380	 9871.3429	 2858.9235	11260.6258	19450.4382	17744.5115	16361.5312	 9756.0642	10344.2687	17046.7249	18841.3145	17556.5859	18787.2131	16138.1747	11591.8609	11752.2697	18077.2272	18455.2146	10251.9747	11056.1331	16846.8690	11114.6172	 1272.1196	18817.2060	 8029.4640	 1242.2065	11370.9947	11047.3680	11243.2846	17938.4178	18501.5573	19028.0248	11999.7249	 6891.1664	 2220.1126	 3030.9845	19280.5164
 9358.7756	 3060.8456	 9315.4038	14988.3660	15581.7036	 9912.6070	 2032.3659	    0.0000	10505.5933	 8753.1779	 8877.0603	 3056.2796	17280.5106	 4142.5392	 9271.3612	 9643.3478	 3892.3795	 7452.6044	10702.3455	13875.1278	 8514.5745	 8790.8440	 2423.7215	 9615.2074	17884.8959	16972.1716	14357.4325	 9162.8721	 8881.0493	17828.7635	16881.3535	17792.8991	16758.8558	14139.6129	10403.5481	10281.9458	16069.9497	16983.0542	 9061.9017	10116.5485	14954.9480	12402.4192	 3125.6966	18716.4110	 6814.6978	 1497.6375	 9887.6925	 9545.9128	10177.2286	16413.5075	16497.9980	18447.6325	10543.4605	 7907.2580	 2244.9237	 3632.6964	17268.2595
 1517.2472	13564.7423	 1204.0420	14104.5074	 6172.7166	 1235.9093	11794.8630	10505.5933	    0.0000	 7434.8656	 1628.8489	13457.5955	 6853.8925	10171.2071	 1276.4362	 1154.5262	11279.8646	 3052.9891	 1015.6342	15221.9887	 1995.4945	 2003.4291	 8947.8843	 1770.9175	 7761.0024	10028.5479	 5681.0813	 3017.1160	 1716.0154	 7885.9515	 7996.6747	 7459.4462	 7396.5091	 6948.9212	  423.2439	  775.7305	 6773.9732	 8971.4970	 1555.4855	 1424.7874	 5441.5918	17110.0912	11742.2852	 9393.8503	 3770.3798	11971.1818	  978.5694	 1252.9245	  961.0055	 8972.3754	 7676.0257	 8047.7868	  709.5130	 8460.1767	12682.2575	 9388.0500	 7956.1676
 8169.9177	10190.5176	 7366.5216	14514.2692	11889.8523	 8362.2868	 7964.6886	 8753.1779	 7434.8656	    0.0000	 7090.4756	 9429.0964	10624.4639	 4985.7462	 6860.8794	 6493.2878	 5893.2407	 7010.4214	 6528.8952	11226.0882	 6948.1640	 6095.8115	 6427.5351	 8743.0611	11530.9814	14179.7686	12248.5005	 4508.8201	 7663.3944	 9265.6042	12875.1210	 9627.5851	12327.1511	13747.3792	 7011.6377	 8105.5726	12215.5689	13615.2448	 6579.7106	 6010.4209	11474.7200	13355.7950	 6888.9627	12381.7938	 6310.3231	 9120.9968	 8038.0536	 8018.5888	 6478.5001	14076.6371	12878.1441	11121.5801	 8131.8982	 1229.1707	10176.6004	 5156.0690	12479.8623
 1125.0433	11936.8590	  487.0755	15624.4954	 7644.5040	 1518.7810	10207.2807	 8877.0603	 1628.8489	 7090.4756	    0.0000	11837.8131	 8477.0724	 8857.4757	  489.8557	 1058.7768	 9914.0504	 1424.8122	 2064.5185	16651.3659	  376.0677	  995.2452	 7383.2695	 1718.6924	 9366.1731	11490.3586	 6979.7466	 2658.2026	  577.9695	 9465.2164	 9491.2788	 9069.3565	 8916.4375	 8069.9180	 1572.5927	 1603.5139	 8256.5750	10439.5291	  571.8248	 1820.7139	 6897.9971	18719.5297	10260.4383	10995.0283	 2184.4853	10343.0116	 1280.8834	 1067.1132	 1563.4151	10370.8393	 9143.3473	 9672.7395	 1823.3448	 7904.6031	11062.2839	 7986.5833	 9494.9158
12402.0819	  816.7659	12297.4000	12370.7626	18041.0928	12959.2322	 1801.1782	 3056.2796	13457.5955	 9429.0964	11837.8131	    0.0000	19700.7875	 4528.3281	12190.3378	12486.2858	 3536.5279	10426.6628	13479.7447	10828.1042	11465.7783	11598.5930	 4615.1252	12671.4181	18767.1210	15991.2601	16831.3847	11556.8545	11898.6982	17526.2634	17732.2869	18240.4683	18273.9846	15904.0359	13296.1944	13309.5781	18139.0494	16877.8461	11944.9269	12826.7689	17703.5910	 9473.7120	 2559.8416	17156.8661	 9693.9298	 1561.3134	12917.2402	12579.0766	12985.2209	16505.3918	17715.4897	18517.1736	13568.0604	 8264.7967	 1470.6222	 4778.1619	18087.8934
 7929.1824	19226.1274	 8020.8062	 7390.8749	 2205.8247	 7372.9317	18410.9061	17280.5106	 6853.8925	10624.4639	 8477.0724	19700.7875	    0.0000	15570.4337	 8117.1701	 7808.6641	16510.5873	 9891.7657	 6802.4591	 8873.6150	 8847.9009	 8693.0354	15651.2933	 7665.4826	 1042.5784	 3874.9176	 3441.4780	 8679.1695	 8426.6649	 2250.2689	 2256.0108	 1542.5836	 1776.8067	 4287.5099	 7005.1558	 7017.3619	 2030.2066	 3042.5048	 8357.2550	 7447.2651	 2599.4974	10256.5456	17513.3910	 2606.3482	10611.4230	18777.0940	 7410.3200	 7749.4803	 7303.1475	 3456.2374	 2331.9076	 1198.0145	 6758.0377	11767.1552	18793.6210	15392.2462	 1858.2900
