"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-1.718476161,-1.588532269,-0.629766175,-1.925509579,0.99779945,1.182487451,-1.454183297,-1.123009779,-0.481607854,-1.708884251,-1.913768673,-0.965355455,-1.686019591
"AC2",0.676994813,0,0.395675328,0.676994813,0.999750672,-0.904667668,-1.20234169,0.209231311,1.051726383,0.52706294,1.055125885,0.697199549,0.998013065,1.007621165
"AC3",0.551439338,0.261492195,0,0.551439338,0.540127051,0.312910354,0.430345053,0.268025567,0.755943632,0.502849858,0.766546375,0.278161058,0.711314722,0.674935548
"AC4",0.71942752,-0.54736271,-0.567190783,0,0.088859048,0.790321072,0.859226712,-0.491822761,0.488073513,0.750739716,0.183138655,-0.438605459,0.562827353,0.085211041
"AC5",1.134804926,0.471627285,0.374247504,1.134804926,0,0.131252854,-0.217186611,0.23782753,0.915389448,1.142045937,0.505083817,0.519050663,1.003142697,0.238188353
"AC6",-0.58960906,-0.876803219,-0.635665884,-0.58960906,-0.169135977,0,0.487931946,-0.429385601,-0.861407651,-0.664192939,-0.148746816,-1.16232331,-0.850202344,0.050123541
"AC7",-4.364560318,-0.153741798,0.014851413,-4.364560318,-1.631240252,-1.749990702,0,0.172094871,-2.019696621,-5.22842111,-1.343988454,-0.351763867,-2.443359366,-1.343014585
"AC8",0.631108668,-0.144708336,-0.419129338,0.631108668,0.937033839,-0.611775602,-0.878476438,0,1.125888933,0.477435137,1.273592232,0.103737575,1.024262793,1.177559197
"AC9",0.045471164,-0.215720756,0.06131606,0.045471164,-1.194188017,1.037878284,0.738091602,0.283753791,0,0.017962469,-0.236629086,-0.549974378,0.114554146,-0.610350705
"AC10",0.069515233,-0.37291863,-0.454978374,0.069515233,-0.045013698,0.965467936,1.090016401,-0.514975151,0.009372237,0,0.07044324,-0.291555537,-0.00851686,0.040407862
"AC11",0.805934484,0.198715112,0.290170106,0.805934484,-0.593767139,0.885775716,0.915343133,0.310832561,0.314802967,0.871099415,0,0.047024295,0.457220326,-0.264207914
"AC12",1.001706158,-0.575279747,-0.729640997,1.001706158,0.717147656,-0.676635742,-1.266059108,-0.883676085,1.185548345,0.89026986,1.134785857,0,1.172722451,0.996893824
"AC13",0.227248973,-0.072153151,-0.015089824,0.227248973,-0.114928449,1.003279424,0.975168848,0.057481475,0.170993377,0.273791991,0.118569134,-0.119448026,0,0.044708141
"AC14",0.807694481,-0.300682874,-0.591544286,0.807694481,0.923899271,0.361117254,-0.132898525,-0.902250331,0.675275342,0.915268339,0.95613914,-0.023967438,0.615169887,0
